theta,acc,auc,pr
0.05,0.976905311778291,0.9927885641135055,0.992957367236771
0.14,0.97,0.9971997199719973,0.997415808417359
0.22999999999999998,0.98005698005698,0.9991558441558441,0.9991792015176144
0.32,0.9705882352941176,0.9952482876712329,0.995503216087651
0.41,0.9795081967213115,0.9977774784482759,0.9978442879881124
0.49999999999999994,0.9691629955947136,0.9975050678309684,0.9977175400619698
0.5900000000000001,0.9693877551020408,0.9990613266583229,0.99898623545683
0.68,0.9548387096774194,0.9961692205196536,0.9964443254982854
0.77,0.9814814814814815,0.9993141289437586,0.9993326118326117
0.86,0.9193548387096774,0.9881081081081081,0.9925963232225428
0.95,0.9523809523809523,1.0,0.9999999999999998
