N,embedding,total_time
100.0,HOPE,0.3592402935028076
166.81005372000593,HOPE,0.30649685859680176
278.2559402207126,HOPE,0.5000081062316895
464.15888336127773,HOPE,0.7533538341522217
774.263682681127,HOPE,1.0334084033966064
1291.549665014884,HOPE,2.7189323902130127
2154.4346900318824,HOPE,6.453679800033569
3593.813663804626,HOPE,17.133803129196167
5994.8425031894085,HOPE,49.0276575088501
10000.0,HOPE,156.5367729663849
100.0,LE,0.1179494857788086
166.81005372000593,LE,0.24082636833190918
278.2559402207126,LE,0.6561393737792969
464.15888336127773,LE,0.7833766937255859
774.263682681127,LE,1.0515880584716797
1291.549665014884,LE,1.6297338008880615
2154.4346900318824,LE,2.8436059951782227
3593.813663804626,LE,5.6746416091918945
5994.8425031894085,LE,13.473248958587646
10000.0,LE,27.705784797668457
100,N2V,3.7698822021484375
166,N2V,7.9889490604400635
278,N2V,16.948359727859497
464,N2V,34.13966369628906
774,N2V,63.858537673950195
1291,N2V,122.8127510547638
2154,N2V,226.67077493667603
3593,N2V,389.3143434524536
5994,N2V,714.4266128540039
10000,N2V,1418.9383170604706
100.0,Isomap,2.5491154193878174
166.81005372000593,Isomap,4.263097763061523
278.2559402207126,Isomap,5.6516807079315186
464.15888336127773,Isomap,13.74864912033081
774.263682681127,Isomap,56.16165089607239
1291.549665014884,Isomap,151.50009036064148
2154.4346900318824,Isomap,339.1234221458435
3593.813663804626,Isomap,1181.6784813404083
5994.8425031894085,Isomap,3176.3738646507263
10000.0,Isomap,8123.7127912044525
